FISCAL_YEAR,FISCAL_QTR,TROR_AGCY_ID,AGCY_NM,BUREAU_NM,ENTITY_DESC,COMMENTS
2016,1,1101,Department of Agriculture,Agricultural Marketing Service,All Other Combined,No Comments At This Time
2016,1,1101,Department of Agriculture,Commodity Credit Corporation,All Other Combined,No Comments At This Time
"2016,1,1101,Department of Agriculture,Commodity Credit Corporation,Apple Loan Program,""The agency is fully committed to complying with the requirement to refer all eligible nontax debt to Treasury at 120 days of delinquency or before.  The statute shortening the number of days from 180-120 necessitated extensive systems and program changes and accompanying expenditures, which require a minimum of two years for implementation. The agency expects implementation of such changes in Fiscal Year 2018."",,,,,,"
2016,1,1101,Department of Agriculture,Commodity Credit Corporation,Commodity and Other Loans,No Comments At This Time
2016,1,1101,Department of Agriculture,Commodity Credit Corporation,Export Guarantees,No Comments At This Time
2016,1,1101,Department of Agriculture,Commodity Credit Corporation,PL 480,No Comments At This Time
2016,1,1101,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance,No Comments At This Time
2016,1,1101,Department of Agriculture,Farm Service Agency,All Other Combined,No Comments At This Time
2016,1,1101,Department of Agriculture,Farm Service Agency,Farm Service Direct Loans,No Comments At This Time
2016,1,1101,Department of Agriculture,Federal Crop Insurance Corporation,Federal Crop Insurance Corporation Fund,No Comments At This Time
2016,1,1101,Department of Agriculture,Federal Crop Insurance Corporation,Other Funds,No Comments At This Time
2016,1,1101,Department of Agriculture,Food and Nutrition Service,All Other Combined,No Comments At This Time
"2016,1,1101,Department of Agriculture,Food Safety and Inspection Service,Food Safety Inspection Service,""The agency is fully committed to complying with the requirement to refer all eligible nontax debt to Treasury at 120 days of delinquency or before.  The statute shortening the number of days from 180-120 necessitated extensive systems and program changes and accompanying expenditures, which require a minimum of two years for implementation. The agency expects implementation of such changes in Fiscal Year 2018."",,,,,,"
2016,1,1101,Department of Agriculture,Forest Service,All Other Combined,No Comments At This Time
2016,1,1101,Department of Agriculture,Rural Development,Distance Learning and Medical Link,No Comments At This Time
2016,1,1101,Department of Agriculture,Rural Development,Other Funds,No Comments At This Time
2016,1,1101,Department of Agriculture,Rural Development,Rural Development Insurance Fund,No Comments At This Time
2016,1,1101,Department of Agriculture,Rural Development,Rural Development Loan Fund,No Comments At This Time
2016,1,1101,Department of Agriculture,Rural Development,Rural Economic Development Liq Acct,No Comments At This Time
2016,1,1101,Department of Agriculture,Rural Development,Rural Elec. & Telephone Revolving Fund,No Comments At This Time
2016,1,1101,Department of Agriculture,Rural Development,Rural Housing Insurance Fund,No Comments At This Time
2016,1,1101,Department of Agriculture,Rural Development,Rural Microenterprise Assistance Prog.,No Comments At This Time
2016,1,1101,Department of Agriculture,Rural Development,Rural Telephone Bank Accounts,No Comments At This Time
2016,1,1101,Department of Agriculture,U.S. Department of Agriculture,All Other Combined,No Comments At This Time
2016,1,1102,Department of Commerce,Bureau of Industry and Security,All Other Combined,No Comments At This Time
2016,1,1102,Department of Commerce,Bureau of the Census,All Other Combined,No Comments At This Time
2016,1,1102,Department of Commerce,Economic and Statistical Analysis,All Other Combined,No Comments At This Time
2016,1,1102,Department of Commerce,Economic Development Administration,All Other Combined,No Comments At This Time
"2016,1,1102,Department of Commerce,Economic Development Administration,Revolving Fund,""The agency is fully committed to complying with the requirement to refer all eligible nontax debt to Treasury at 120 days of delinquency or before.  The statute shortening the number of days from 180-120 necessitated extensive systems and program changes and accompanying expenditures, which require a minimum of two years for implementation. The agency expects implementation of such changes in Fiscal Year 2018."",,,,,,"
2016,1,1102,Department of Commerce,General Administration,All Other Combined,No Comments At This Time
2016,1,1102,Department of Commerce,International Trade Administration,All Other Combined,No Comments At This Time
2016,1,1102,Department of Commerce,Minority Business Development Agency,All Other Combined,No Comments At This Time
2016,1,1102,Department of Commerce,National Technical Information Service,All Other Combined,No Comments At This Time
2016,1,1102,Department of Commerce,Nat'l Institute of Standards& Technology,Working Capital Fund,No Comments At This Time
2016,1,1102,Department of Commerce,Nat'l Telecomm & Information Admin,All Other Combined,No Comments At This Time
2016,1,1102,Department of Commerce,NOAA,All Other Combined,No Comments At This Time
2016,1,1102,Department of Commerce,NOAA,Coastal Zone Management Fund,No Comments At This Time
2016,1,1102,Department of Commerce,NOAA,Federal Ship Financing Fund,No Comments At This Time
2016,1,1102,Department of Commerce,NOAA,Fisheries Financing Accounts,No Comments At This Time
2016,1,1102,Department of Commerce,NOAA,NOAA,No Comments At This Time
2016,1,1102,Department of Commerce,Office of the Inspector General,All Other Combined,No Comments At This Time
